"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2024","2.8959","2.9375","2.9650","2.8845","60.95K","-0.81%"
"02/12/2024","2.9196","2.9493","2.9502","2.8959","65.65K","-1.50%"
"02/09/2024","2.9642","2.8949","2.9735","2.8758","79.91K","2.54%"
"02/08/2024","2.8908","2.8221","2.8979","2.8064","69.81K","2.69%"
"02/07/2024","2.8152","2.7586","2.8270","2.7479","72.67K","2.64%"
"02/06/2024","2.7427","2.7301","2.7636","2.7111","51.93K","0.66%"
"02/05/2024","2.7248","2.6790","2.7318","2.6611","55.94K","2.44%"
"02/02/2024","2.6600","2.7242","2.7378","2.6351","70.70K","-1.95%"
"02/01/2024","2.7129","2.7944","2.8183","2.6846","91.06K","-3.39%"
"01/31/2024","2.8082","2.7927","2.8418","2.7833","3.91K","0.05%"
"01/30/2024","2.8068","2.8375","2.8489","2.7629","14.86K","-0.96%"
"01/29/2024","2.8339","2.8799","2.8923","2.8071","19.55K","-0.33%"
"01/26/2024","2.8434","2.7908","2.8716","2.7403","27.46K","1.72%"
"01/25/2024","2.7954","2.6910","2.8000","2.6878","26.86K","4.24%"
"01/24/2024","2.6818","2.6948","2.7149","2.6608","26.68K","-0.35%"
"01/23/2024","2.6913","2.6960","2.7150","2.6480","22.71K","-0.08%"
"01/22/2024","2.6935","2.6733","2.7129","2.6369","29.87K","1.18%"
"01/19/2024","2.6621","2.6940","2.7249","2.6578","38.35K","-1.17%"
"01/18/2024","2.6936","2.6489","2.6984","2.6317","35.80K","1.51%"
"01/17/2024","2.6536","2.6588","2.6588","2.6083","48.35K","-0.26%"
"01/16/2024","2.6606","2.6848","2.7362","2.6154","88.07K","0.01%"
"01/15/2024","2.6603","2.6613","2.6756","2.6155","","-0.03%"
"01/14/2024","2.6612","2.6592","2.6614","2.6532","","-0.30%"
"01/12/2024","2.6693","2.6942","2.7863","2.6663","69.19K","-0.17%"
"01/11/2024","2.6738","2.6034","2.6970","2.5978","62.11K","2.81%"
"01/10/2024","2.6006","2.6483","2.7021","2.5920","68.64K","-1.88%"
"01/09/2024","2.6504","2.5819","2.6754","2.5798","68.78K","2.85%"
"01/08/2024","2.5769","2.6212","2.6300","2.5282","61.80K","-1.21%"
"01/05/2024","2.6085","2.5907","2.6232","2.5841","47.23K","0.78%"
"01/04/2024","2.5884","2.6063","2.6287","2.5554","50.75K","-0.61%"
"01/03/2024","2.6044","2.5300","2.6232","2.5075","49.21K","3.11%"
"01/02/2024","2.5258","2.5533","2.5956","2.5108","55.84K","-1.41%"
"01/01/2024","2.5620","2.5720","2.5732","2.5591","","0.35%"
"12/29/2023","2.5531","2.5600","2.5967","2.5319","4.96K","-0.13%"
"12/28/2023","2.5563","2.6196","2.6344","2.5516","14.82K","-2.58%"
"12/27/2023","2.6239","2.6617","2.6914","2.6197","16.58K","-1.68%"
"12/26/2023","2.6688","2.6520","2.7317","2.6473","19.57K","1.41%"
"12/25/2023","2.6317","2.6242","2.6330","2.6242","","-1.11%"
"12/22/2023","2.6612","2.7009","2.7305","2.6525","24.41K","-1.32%"
"12/21/2023","2.6968","2.6935","2.7150","2.6600","19.17K","-0.43%"
"12/20/2023","2.7085","2.7291","2.7685","2.6947","27.59K","-0.31%"
"12/19/2023","2.7168","2.6820","2.7321","2.6512","28.84K","1.65%"
"12/18/2023","2.6728","2.6298","2.7329","2.6036","38.98K","1.98%"
"12/15/2023","2.6208","2.5974","2.6563","2.5819","56.27K","1.14%"
"12/14/2023","2.5913","2.5568","2.6115","2.5559","42.48K","1.70%"
"12/13/2023","2.5481","2.5186","2.5665","2.4838","47.47K","1.62%"
"12/12/2023","2.5074","2.6069","2.6281","2.5000","54.72K","-3.88%"
"12/11/2023","2.6087","2.5800","2.6224","2.5618","52.88K","1.07%"
"12/08/2023","2.5810","2.5668","2.6181","2.5553","52.41K","1.25%"
"12/07/2023","2.5492","2.5810","2.6200","2.5468","53.62K","-1.05%"
"12/06/2023","2.5762","2.6303","2.6543","2.5611","50.26K","-2.46%"
"12/05/2023","2.6411","2.6668","2.7070","2.6279","49.71K","-0.70%"
"12/04/2023","2.6597","2.6684","2.7053","2.6337","49.08K","-0.07%"
"12/01/2023","2.6615","2.7430","2.7617","2.6597","62.37K","-5.97%"
"11/30/2023","2.8305","2.8780","2.9273","2.7961","4.89K","-2.01%"
"11/29/2023","2.8885","2.8823","2.9127","2.8117","25.17K","-0.64%"
"11/28/2023","2.9070","2.8399","2.9230","2.8300","20.53K","2.43%"
"11/27/2023","2.8379","2.8230","2.8778","2.7973","27.02K","0.08%"
"11/24/2023","2.8357","2.8781","2.9059","2.8183","16.20K","-1.09%"
